Script started on 2025-12-26 14:23:58+07:00 [TERM="xterm-256color" TTY="/dev/pts/3" COLUMNS="141" LINES="36"]
[?2004h]0;gpm@codeby: ~/lesson4[01;32mgpm@codeby[00m:[01;34m~/lesson4[00m$ ps aux [K
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.3  24324 13976 ?        Ss   Dec25   0:04 /sbin/init
root         261  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_0]
root         262  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_0]
root         263  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_1]
root         264  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_1]
root         265  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-mpt_poll_0]
root         266  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-mpt/0]
root         267  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_2]
root         268  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_2]
root         269  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_3]
root         270  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_3]
root         271  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_4]
root         272  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_4]
root         273  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_5]
root         274  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_5]
root         275  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_6]
root         276  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_6]
root         277  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_7]
root         278  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_7]
root         279  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_8]
root         280  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_8]
root         281  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_9]
root         282  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_9]
root         283  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_10]
root         284  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_10]
root         285  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_11]
root         286  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_11]
root         287  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_12]
root         288  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_12]
root         289  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_13]
root         290  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_13]
root         291  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_14]
root         292  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_14]
root         293  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_15]
root         294  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_15]
root         295  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_16]
root         296  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_16]
root         297  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_17]
root         298  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_17]
root         299  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_18]
root         300  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_18]
root         301  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_19]
root         302  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_19]
root         303  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_20]
root         304  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_20]
root         305  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_21]
root         306  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_21]
root         307  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_22]
root         308  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_22]
root         309  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_23]
root         310  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_23]
root         311  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_24]
root         312  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_24]
root         313  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_25]
root         314  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_25]
root         315  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_26]
root         316  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_26]
root         317  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_27]
root         318  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_27]
root         319  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_28]
root         320  0.0  0.0      0     0 ?        I<   Dec25   0:00 [kworker/R-scsi_tmf_28]
root         321  0.0  0.0      0     0 ?        S    Dec25   0:00 [scsi_eh_29]
